held_out,test_acc,test_f1,val_acc,epochs_trained,gate_BG,gate_Alp,gate_TD,gate_BxA,gate_AxT,gate_BxT
01,0.932,0.932,0.9859,30,0.0,0.0,0.57,0.42,0.0,0.0
02,0.6971,0.6671,0.9842,35,0.0,0.0,0.66,0.33,0.0,0.0
03,0.9868,0.9868,0.9839,31,0.0,0.0,0.55,0.44,0.0,0.01
04,0.9941,0.9941,0.9859,48,0.0,0.0,0.57,0.42,0.0,0.0
05,0.9926,0.9926,0.9748,16,0.02,0.02,0.55,0.38,0.01,0.01
06,0.9985,0.9985,0.9842,45,0.0,0.0,0.6,0.4,0.0,0.0
08,0.9804,0.9804,0.9846,38,0.0,0.0,0.65,0.34,0.0,0.01
09,1.0,1.0,0.9805,28,0.0,0.0,0.64,0.35,0.0,0.0
10,0.7078,0.6824,0.9909,42,0.0,0.0,0.68,0.31,0.0,0.0
11,0.988,0.988,0.9872,50,0.0,0.0,0.6,0.4,0.0,0.0
14,0.9547,0.9546,0.9856,40,0.0,0.0,0.58,0.42,0.0,0.0
15,0.994,0.994,0.9819,22,0.01,0.01,0.55,0.42,0.0,0.01
16,0.997,0.997,0.9799,25,0.0,0.0,0.57,0.42,0.0,0.01
17,0.997,0.997,0.9859,40,0.0,0.0,0.55,0.44,0.0,0.0
18,0.9864,0.9864,0.9792,18,0.01,0.01,0.55,0.41,0.01,0.01
19,0.9909,0.9909,0.9815,23,0.0,0.01,0.63,0.35,0.0,0.01
20,0.9909,0.9909,0.9899,50,0.0,0.0,0.56,0.43,0.0,0.0
21,0.994,0.994,0.9792,19,0.0,0.01,0.55,0.42,0.0,0.01
22,0.9607,0.9607,0.9762,23,0.01,0.01,0.71,0.27,0.0,0.0
23,0.9819,0.9819,0.9832,23,0.01,0.0,0.95,0.03,0.0,0.01
24,0.9592,0.9592,0.9825,24,0.0,0.01,0.65,0.33,0.0,0.0
25,0.997,0.997,0.9909,49,0.0,0.0,0.62,0.38,0.0,0.0
26,0.9924,0.9924,0.9829,20,0.01,0.02,0.6,0.36,0.0,0.01
27,0.9758,0.9758,0.9886,50,0.0,0.0,0.58,0.42,0.0,0.0
28,0.9426,0.9426,0.9815,22,0.0,0.02,0.55,0.42,0.01,0.0
29,0.8882,0.8882,0.9856,25,0.0,0.0,0.79,0.2,0.0,0.0
30,0.9819,0.9819,0.9802,16,0.01,0.02,0.56,0.39,0.01,0.01
31,0.9924,0.9924,0.9862,40,0.0,0.0,0.5,0.5,0.0,0.0
32,0.9456,0.9455,0.9762,13,0.03,0.08,0.46,0.38,0.03,0.02
33,0.9758,0.9758,0.9832,50,0.0,0.0,0.65,0.35,0.0,0.0
34,0.9124,0.9117,0.9711,14,0.02,0.02,0.44,0.48,0.01,0.02
35,0.9819,0.9819,0.9819,18,0.02,0.04,0.55,0.39,0.0,0.01
36,0.9789,0.9788,0.9882,40,0.0,0.0,0.64,0.36,0.0,0.0
37,0.994,0.994,0.9859,49,0.0,0.0,0.55,0.45,0.0,0.0
38,0.9955,0.9955,0.9835,23,0.0,0.01,0.6,0.38,0.0,0.01
41,1.0,1.0,0.9765,20,0.01,0.02,0.59,0.38,0.01,0.0
42,0.997,0.997,0.9728,17,0.01,0.02,0.57,0.38,0.01,0.01
43,0.9894,0.9894,0.9903,50,0.0,0.0,0.53,0.47,0.0,0.0
44,0.994,0.994,0.9856,18,0.01,0.01,0.59,0.37,0.01,0.01
45,0.8973,0.8971,0.9785,14,0.02,0.03,0.59,0.29,0.02,0.04
46,1.0,1.0,0.9859,35,0.0,0.0,0.54,0.45,0.0,0.01
47,1.0,1.0,0.9785,27,0.0,0.0,0.63,0.36,0.0,0.01
48,1.0,1.0,0.9862,50,0.0,0.0,0.51,0.48,0.0,0.0
49,0.9985,0.9985,0.9822,50,0.0,0.0,0.52,0.47,0.0,0.0
50,1.0,1.0,0.9866,36,0.0,0.0,0.67,0.32,0.0,0.0
54,0.9834,0.9834,0.9829,17,0.01,0.02,0.5,0.45,0.01,0.02
