subject,acc_mean,acc_std,f1_mean,fold_1,fold_2,fold_3,fold_4,fold_5
01,0.8867,0.0215,0.8859,0.9098,0.8797,0.8939,0.9015,0.8485
02,0.9559,0.0203,0.9558,0.9853,0.9632,0.9632,0.9412,0.9265
03,0.9676,0.01,0.9676,0.9779,0.9485,0.9706,0.9706,0.9706
04,0.8971,0.0688,0.8942,0.8676,0.9191,0.9779,0.7794,0.9412
05,0.9926,0.0081,0.9926,0.9779,0.9926,1.0,1.0,0.9926
06,0.9563,0.0099,0.9563,0.9549,0.9624,0.9549,0.9398,0.9697
08,0.9819,0.0131,0.9819,0.9624,0.9774,0.9925,1.0,0.9773
09,0.9865,0.0138,0.9864,0.9624,0.985,1.0,0.985,1.0
10,0.6882,0.0328,0.6772,0.6992,0.7293,0.6917,0.6917,0.6288
11,0.9428,0.0364,0.9425,0.9624,0.9248,0.8797,0.9774,0.9697
14,0.9033,0.0292,0.9024,0.8797,0.9098,0.947,0.9167,0.8636
15,0.9758,0.013,0.9758,0.9699,0.985,0.9545,0.9924,0.9773
16,0.9214,0.08,0.9186,0.9398,0.9549,0.7652,0.9924,0.9545
17,0.8821,0.0482,0.8795,0.8872,0.9474,0.803,0.9091,0.8636
18,0.9517,0.014,0.9516,0.9624,0.9398,0.9545,0.9697,0.9318
19,0.9243,0.048,0.9233,0.9699,0.985,0.8788,0.9242,0.8636
20,0.9683,0.0121,0.9683,0.9699,0.9549,0.9848,0.9545,0.9773
21,0.9924,0.0068,0.9924,0.985,1.0,0.9848,0.9924,1.0
22,0.9502,0.0338,0.9501,0.9474,0.8947,0.9773,0.9924,0.9394
23,0.8943,0.022,0.8937,0.8947,0.8947,0.9015,0.9242,0.8561
24,0.8414,0.0694,0.8351,0.8346,0.8346,0.7197,0.9091,0.9091
25,0.9894,0.006,0.9894,0.9774,0.9925,0.9924,0.9924,0.9924
26,0.9683,0.0111,0.9683,0.9549,0.9774,0.9621,0.9621,0.9848
27,0.9214,0.04,0.9206,0.9549,0.9098,0.8485,0.9394,0.9545
28,0.9683,0.0188,0.9683,0.985,0.9624,0.9924,0.9394,0.9621
29,0.8052,0.042,0.8009,0.8571,0.7368,0.7803,0.8258,0.8258
30,0.9788,0.0206,0.9788,0.985,0.985,1.0,0.9394,0.9848
31,0.994,0.0088,0.994,1.0,0.9925,0.9773,1.0,1.0
32,0.9713,0.021,0.9713,0.9624,0.9474,1.0,0.9545,0.9924
33,0.994,0.0056,0.994,0.9925,0.985,0.9924,1.0,1.0
34,0.9502,0.0162,0.9501,0.9699,0.9248,0.9545,0.9394,0.9621
35,0.9698,0.0047,0.9698,0.9624,0.9699,0.9697,0.9773,0.9697
36,0.8837,0.1012,0.8785,0.782,0.9549,0.9924,0.7424,0.947
37,0.9864,0.0074,0.9864,0.9925,0.9774,0.9924,0.9773,0.9924
38,0.9743,0.014,0.9743,0.9774,0.9624,0.9545,0.9924,0.9848
41,0.9819,0.0131,0.9819,0.9774,0.9624,0.9773,1.0,0.9924
42,0.9955,0.0037,0.9955,1.0,0.9925,0.9924,0.9924,1.0
43,0.9909,0.0056,0.9909,0.9925,0.985,0.9924,0.9848,1.0
44,0.9879,0.0123,0.9879,1.0,1.0,0.9924,0.9697,0.9773
45,0.9789,0.0088,0.9789,0.9774,0.9699,0.9848,0.9924,0.9697
46,0.9909,0.0111,0.9909,1.0,1.0,0.9697,0.9924,0.9924
47,0.8704,0.1508,0.8518,0.9323,0.5714,0.9621,0.9167,0.9697
48,0.994,0.0057,0.9939,0.9925,1.0,1.0,0.9924,0.9848
49,0.9819,0.0091,0.9819,0.9774,0.9774,0.9773,1.0,0.9773
50,0.991,0.011,0.9909,1.0,0.9699,0.9924,0.9924,1.0
54,0.991,0.0074,0.991,0.9925,0.9774,0.9924,0.9924,1.0
