subject,CSOA,DeepConvNet,ShallowConvNet,EEGNet,RF,SVM,LDA
01,0.932,0.9577,0.9547,0.9396,0.9094,0.9199,0.9275
02,0.6971,0.9176,0.8162,0.9015,0.5368,0.5676,0.5897
03,0.9868,0.9912,0.9838,0.9838,0.9721,0.9544,0.9794
04,0.9941,0.9956,0.9956,0.9765,0.9691,0.9662,0.9882
05,0.9926,0.9985,0.9985,0.9971,0.7368,0.7662,0.7029
06,0.9985,1.0,0.994,0.9849,0.9202,0.9458,0.8946
08,0.9804,0.997,0.9895,0.9849,0.9744,0.9563,0.9533
09,1.0,1.0,0.9985,0.997,0.9849,0.991,0.9714
10,0.7078,0.6973,0.6988,0.7063,0.6024,0.6084,0.616
11,0.988,0.9729,0.9744,0.9398,0.9503,0.9337,0.8735
14,0.9547,0.9758,0.7387,0.9426,0.7749,0.7644,0.8671
15,0.994,0.9909,0.994,0.9411,0.8731,0.9335,0.9758
16,0.997,0.9985,0.9909,0.9894,0.9607,0.9834,0.9637
17,0.997,1.0,0.997,0.9698,0.9215,0.9547,0.9532
18,0.9864,0.9879,0.994,0.9668,0.9426,0.9396,0.8912
19,0.9909,0.9909,0.9955,0.9804,0.9909,0.9819,0.932
20,0.9909,0.997,0.9924,0.9773,0.9819,0.9758,0.9184
21,0.994,0.9985,0.9909,0.994,0.9909,0.9728,0.9683
22,0.9607,0.9909,0.9879,0.9562,0.8746,0.784,0.858
23,0.9819,0.9834,0.9683,0.9849,0.929,0.9426,0.923
24,0.9592,0.9592,0.9668,0.9683,0.9456,0.9486,0.9033
25,0.997,0.9985,0.9864,0.9819,0.9305,0.8822,0.861
26,0.9924,0.9985,0.997,0.9758,0.9622,0.9637,0.8988
27,0.9758,0.9683,0.9879,0.9486,0.9562,0.9562,0.9441
28,0.9426,0.9849,0.9804,0.9411,0.9366,0.9456,0.8021
29,0.8882,0.8701,0.861,0.8474,0.7568,0.8097,0.7674
30,0.9819,0.997,0.9909,0.9547,0.9789,0.9456,0.9562
31,0.9924,0.9985,1.0,0.9894,0.5891,0.6208,0.5876
32,0.9456,0.994,0.997,0.9653,0.9758,0.9698,0.929
33,0.9758,0.997,0.9849,0.9743,0.9804,0.9698,0.9532
34,0.9124,0.9924,0.9879,0.9834,0.9622,0.9637,0.9366
35,0.9819,0.9924,0.9894,0.9683,0.9653,0.8172,0.784
36,0.9789,0.9366,0.9758,0.8973,0.7885,0.8595,0.7583
37,0.994,0.9924,0.994,0.9789,0.9622,0.9366,0.9094
38,0.9955,0.997,0.9909,0.9668,0.9622,0.6918,0.6556
41,1.0,1.0,0.9955,0.9728,0.8882,0.9698,0.8716
42,0.997,0.9985,0.997,0.9985,0.9758,0.9924,0.9637
43,0.9894,0.9819,0.9924,0.9758,0.9441,0.6934,0.5121
44,0.994,0.9985,0.9955,0.994,0.9199,0.929,0.9094
45,0.8973,0.9532,0.932,0.923,0.7553,0.7387,0.781
46,1.0,1.0,0.994,0.9456,0.9955,0.9849,0.8248
47,1.0,1.0,1.0,1.0,0.9864,0.9834,0.9471
48,1.0,1.0,1.0,0.9894,0.9879,0.994,0.9683
49,0.9985,1.0,0.9804,0.9879,0.9924,0.9924,0.9909
50,1.0,0.994,0.9577,1.0,0.8701,0.935,0.923
54,0.9834,0.994,0.9758,0.9909,0.7704,0.8218,0.6828
