held_out,test_acc,test_f1,val_acc,n_train,n_val,n_test,epochs_trained,n_params,T_in
01,0.9577,0.9577,0.9903,26894,2978,662,40,319327,3501
02,0.9176,0.9103,0.9906,26878,2976,680,50,319327,3501
03,0.9912,0.9911,0.9909,26878,2976,680,50,319327,3501
04,0.9956,0.9956,0.9889,26878,2976,680,45,319327,3501
05,0.9985,0.9985,0.9896,26878,2976,680,31,319327,3501
06,1.0,1.0,0.9869,26892,2978,664,48,319327,3501
08,0.997,0.997,0.9896,26892,2978,664,43,319327,3501
09,1.0,1.0,0.9862,26892,2978,664,50,319327,3501
10,0.6973,0.5821,0.9906,26892,2978,664,18,319327,3501
11,0.9729,0.9721,0.9899,26892,2978,664,41,319327,3501
14,0.9758,0.9752,0.9872,26894,2978,662,34,319327,3501
15,0.9909,0.991,0.9909,26894,2978,662,43,319327,3501
16,0.9985,0.9985,0.9903,26894,2978,662,50,319327,3501
17,1.0,1.0,0.9909,26894,2978,662,50,319327,3501
18,0.9879,0.9879,0.9919,26894,2978,662,49,319327,3501
19,0.9909,0.9909,0.9876,26894,2978,662,34,319327,3501
20,0.997,0.997,0.9909,26894,2978,662,42,319327,3501
21,0.9985,0.9985,0.9896,26894,2978,662,43,319327,3501
22,0.9909,0.9909,0.9936,26894,2978,662,50,319327,3501
23,0.9834,0.9832,0.9906,26894,2978,662,41,319327,3501
24,0.9592,0.9577,0.9862,26894,2978,662,34,319327,3501
25,0.9985,0.9985,0.9923,26894,2978,662,50,319327,3501
26,0.9985,0.9985,0.9899,26894,2978,662,36,319327,3501
27,0.9683,0.9678,0.9866,26894,2978,662,20,319327,3501
28,0.9849,0.9851,0.9866,26894,2978,662,24,319327,3501
29,0.8701,0.8557,0.9889,26894,2978,662,33,319327,3501
30,0.997,0.997,0.9876,26894,2978,662,32,319327,3501
31,0.9985,0.9985,0.9882,26894,2978,662,34,319327,3501
32,0.994,0.994,0.9899,26894,2978,662,38,319327,3501
33,0.997,0.997,0.9899,26894,2978,662,45,319327,3501
34,0.9924,0.9925,0.9896,26894,2978,662,46,319327,3501
35,0.9924,0.9924,0.9913,26894,2978,662,30,319327,3501
36,0.9366,0.9323,0.9876,26894,2978,662,50,319327,3501
37,0.9924,0.9925,0.9906,26894,2978,662,38,319327,3501
38,0.997,0.997,0.9906,26894,2978,662,50,319327,3501
41,1.0,1.0,0.9919,26894,2978,662,50,319327,3501
42,0.9985,0.9985,0.9913,26894,2978,662,40,319327,3501
43,0.9819,0.9816,0.9866,26894,2978,662,30,319327,3501
44,0.9985,0.9985,0.9856,26894,2978,662,28,319327,3501
45,0.9532,0.9545,0.9923,26894,2978,662,50,319327,3501
46,1.0,1.0,0.9899,26894,2978,662,37,319327,3501
47,1.0,1.0,0.9879,26894,2978,662,40,319327,3501
48,1.0,1.0,0.9929,26894,2978,662,41,319327,3501
49,1.0,1.0,0.9889,26894,2978,662,43,319327,3501
50,0.994,0.9939,0.9882,26894,2978,662,28,319327,3501
54,0.994,0.994,0.9916,26894,2978,662,50,319327,3501
