held_out,test_acc,test_f1,val_acc,n_train,n_val,n_test,epochs_trained,n_params,T_in
01,0.9396,0.9363,0.9872,26894,2978,662,41,8874,3501
02,0.9015,0.8961,0.9583,26878,2976,680,13,8874,3501
03,0.9838,0.9836,0.9835,26878,2976,680,35,8874,3501
04,0.9765,0.977,0.955,26878,2976,680,11,8874,3501
05,0.9971,0.9971,0.9768,26878,2976,680,16,8874,3501
06,0.9849,0.9851,0.9809,26892,2978,664,22,8874,3501
08,0.9849,0.985,0.9664,26892,2978,664,14,8874,3501
09,0.997,0.997,0.9476,26892,2978,664,11,8874,3501
10,0.7063,0.6755,0.9647,26892,2978,664,11,8874,3501
11,0.9398,0.9422,0.9516,26892,2978,664,11,8874,3501
14,0.9426,0.9444,0.9698,26894,2978,662,19,8874,3501
15,0.9411,0.9444,0.9543,26894,2978,662,12,8874,3501
16,0.9894,0.9895,0.9674,26894,2978,662,13,8874,3501
17,0.9698,0.9707,0.9654,26894,2978,662,12,8874,3501
18,0.9668,0.9677,0.9651,26894,2978,662,15,8874,3501
19,0.9804,0.9807,0.9624,26894,2978,662,12,8874,3501
20,0.9773,0.9778,0.959,26894,2978,662,11,8874,3501
21,0.994,0.994,0.958,26894,2978,662,11,8874,3501
22,0.9562,0.9567,0.9563,26894,2978,662,11,8874,3501
23,0.9849,0.985,0.9906,26894,2978,662,30,8874,3501
24,0.9683,0.9677,0.9799,26894,2978,662,16,8874,3501
25,0.9819,0.982,0.961,26894,2978,662,12,8874,3501
26,0.9758,0.9764,0.9362,26894,2978,662,11,8874,3501
27,0.9486,0.9506,0.9604,26894,2978,662,11,8874,3501
28,0.9411,0.9442,0.948,26894,2978,662,11,8874,3501
29,0.8474,0.8379,0.9671,26894,2978,662,12,8874,3501
30,0.9547,0.9566,0.9429,26894,2978,662,11,8874,3501
31,0.9894,0.9895,0.9614,26894,2978,662,11,8874,3501
32,0.9653,0.9663,0.9691,26894,2978,662,13,8874,3501
33,0.9743,0.975,0.9584,26894,2978,662,12,8874,3501
34,0.9834,0.9836,0.9882,26894,2978,662,35,8874,3501
35,0.9683,0.9684,0.9644,26894,2978,662,11,8874,3501
36,0.8973,0.9009,0.9688,26894,2978,662,11,8874,3501
37,0.9789,0.9793,0.9594,26894,2978,662,11,8874,3501
38,0.9668,0.9674,0.9338,26894,2978,662,11,8874,3501
41,0.9728,0.9735,0.9577,26894,2978,662,11,8874,3501
42,0.9985,0.9985,0.9906,26894,2978,662,39,8874,3501
43,0.9758,0.976,0.9688,26894,2978,662,14,8874,3501
44,0.994,0.994,0.9594,26894,2978,662,11,8874,3501
45,0.923,0.9275,0.9812,26894,2978,662,15,8874,3501
46,0.9456,0.9484,0.9486,26894,2978,662,11,8874,3501
47,1.0,1.0,0.9825,26894,2978,662,19,8874,3501
48,0.9894,0.9895,0.95,26894,2978,662,11,8874,3501
49,0.9879,0.9881,0.9701,26894,2978,662,13,8874,3501
50,1.0,1.0,0.9862,26894,2978,662,31,8874,3501
54,0.9909,0.991,0.9788,26894,2978,662,18,8874,3501
