held_out,test_acc,test_f1,val_acc,n_train,n_val,n_test,n_features
01,0.9275,0.9238,0.9164,26894,2978,662,455
02,0.5897,0.3145,0.9291,26878,2976,680,455
03,0.9794,0.9791,0.9214,26878,2976,680,455
04,0.9882,0.9882,0.9214,26878,2976,680,455
05,0.7029,0.5809,0.9294,26878,2976,680,455
06,0.8946,0.9041,0.9218,26892,2978,664,455
08,0.9533,0.9546,0.9281,26892,2978,664,455
09,0.9714,0.9709,0.9218,26892,2978,664,455
10,0.616,0.3855,0.9362,26892,2978,664,455
11,0.8735,0.8571,0.9184,26892,2978,664,455
14,0.8671,0.8599,0.9349,26894,2978,662,455
15,0.9758,0.9757,0.9201,26894,2978,662,455
16,0.9637,0.9645,0.9275,26894,2978,662,455
17,0.9532,0.9537,0.9197,26894,2978,662,455
18,0.8912,0.88,0.9244,26894,2978,662,455
19,0.932,0.9329,0.9268,26894,2978,662,455
20,0.9184,0.9123,0.9251,26894,2978,662,455
21,0.9683,0.968,0.9318,26894,2978,662,455
22,0.858,0.8737,0.9248,26894,2978,662,455
23,0.923,0.9176,0.9335,26894,2978,662,455
24,0.9033,0.8978,0.9349,26894,2978,662,455
25,0.861,0.8477,0.9241,26894,2978,662,455
26,0.8988,0.8968,0.9218,26894,2978,662,455
27,0.9441,0.9461,0.9258,26894,2978,662,455
28,0.8021,0.7681,0.9271,26894,2978,662,455
29,0.7674,0.7492,0.9281,26894,2978,662,455
30,0.9562,0.9567,0.9305,26894,2978,662,455
31,0.5876,0.3018,0.9231,26894,2978,662,455
32,0.929,0.9255,0.9201,26894,2978,662,455
33,0.9532,0.9515,0.9231,26894,2978,662,455
34,0.9366,0.9367,0.9281,26894,2978,662,455
35,0.784,0.8121,0.9335,26894,2978,662,455
36,0.7583,0.6838,0.9244,26894,2978,662,455
37,0.9094,0.9013,0.9278,26894,2978,662,455
38,0.6556,0.5929,0.9281,26894,2978,662,455
41,0.8716,0.885,0.9332,26894,2978,662,455
42,0.9637,0.9626,0.9315,26894,2978,662,455
43,0.5121,0.6399,0.9322,26894,2978,662,455
44,0.9094,0.901,0.9234,26894,2978,662,455
45,0.781,0.8124,0.9312,26894,2978,662,455
46,0.8248,0.7883,0.9258,26894,2978,662,455
47,0.9471,0.9462,0.9248,26894,2978,662,455
48,0.9683,0.9679,0.9261,26894,2978,662,455
49,0.9909,0.991,0.9281,26894,2978,662,455
50,0.923,0.9197,0.9231,26894,2978,662,455
54,0.6828,0.5551,0.9322,26894,2978,662,455
