held_out,test_acc,test_f1,val_acc,n_train,n_val,n_test,n_features
01,0.9094,0.9051,0.9506,26894,2978,662,455
02,0.5368,0.137,0.9519,26878,2976,680,455
03,0.9721,0.9719,0.9429,26878,2976,680,455
04,0.9691,0.9699,0.9435,26878,2976,680,455
05,0.7368,0.6427,0.953,26878,2976,680,455
06,0.9202,0.925,0.9496,26892,2978,664,455
08,0.9744,0.9738,0.9453,26892,2978,664,455
09,0.9849,0.985,0.949,26892,2978,664,455
10,0.6024,0.3465,0.96,26892,2978,664,455
11,0.9503,0.9485,0.9446,26892,2978,664,455
14,0.7749,0.7118,0.9506,26894,2978,662,455
15,0.8731,0.8874,0.9493,26894,2978,662,455
16,0.9607,0.9619,0.9463,26894,2978,662,455
17,0.9215,0.9272,0.9543,26894,2978,662,455
18,0.9426,0.9395,0.9543,26894,2978,662,455
19,0.9909,0.9909,0.9476,26894,2978,662,455
20,0.9819,0.9817,0.953,26894,2978,662,455
21,0.9909,0.9909,0.9537,26894,2978,662,455
22,0.8746,0.8865,0.9446,26894,2978,662,455
23,0.929,0.9238,0.9533,26894,2978,662,455
24,0.9456,0.9441,0.9537,26894,2978,662,455
25,0.9305,0.9294,0.9533,26894,2978,662,455
26,0.9622,0.9611,0.9483,26894,2978,662,455
27,0.9562,0.9572,0.9496,26894,2978,662,455
28,0.9366,0.9366,0.9456,26894,2978,662,455
29,0.7568,0.7374,0.953,26894,2978,662,455
30,0.9789,0.9789,0.949,26894,2978,662,455
31,0.5891,0.3061,0.9473,26894,2978,662,455
32,0.9758,0.9754,0.9486,26894,2978,662,455
33,0.9804,0.9802,0.9469,26894,2978,662,455
34,0.9622,0.9632,0.9493,26894,2978,662,455
35,0.9653,0.9641,0.9547,26894,2978,662,455
36,0.7885,0.7328,0.9496,26894,2978,662,455
37,0.9622,0.9609,0.953,26894,2978,662,455
38,0.9622,0.9609,0.9429,26894,2978,662,455
41,0.8882,0.8989,0.9553,26894,2978,662,455
42,0.9758,0.9755,0.9443,26894,2978,662,455
43,0.9441,0.9469,0.9523,26894,2978,662,455
44,0.9199,0.9135,0.9523,26894,2978,662,455
45,0.7553,0.8,0.9577,26894,2978,662,455
46,0.9955,0.9955,0.952,26894,2978,662,455
47,0.9864,0.9864,0.951,26894,2978,662,455
48,0.9879,0.9881,0.9527,26894,2978,662,455
49,0.9924,0.9925,0.9553,26894,2978,662,455
50,0.8701,0.8517,0.949,26894,2978,662,455
54,0.7704,0.702,0.9567,26894,2978,662,455
