held_out,test_acc,test_f1,val_acc,n_train,n_val,n_test,epochs_trained,n_params,T_in
01,0.9547,0.9548,0.9886,26894,2978,662,50,123242,3501
02,0.8162,0.7764,0.9876,26878,2976,680,50,123242,3501
03,0.9838,0.9836,0.9862,26878,2976,680,50,123242,3501
04,0.9956,0.9956,0.9869,26878,2976,680,49,123242,3501
05,0.9985,0.9985,0.9869,26878,2976,680,50,123242,3501
06,0.994,0.994,0.9849,26892,2978,664,50,123242,3501
08,0.9895,0.9895,0.9862,26892,2978,664,50,123242,3501
09,0.9985,0.9985,0.9829,26892,2978,664,50,123242,3501
10,0.6988,0.5935,0.9792,26892,2978,664,17,123242,3501
11,0.9744,0.9744,0.9856,26892,2978,664,44,123242,3501
14,0.7387,0.6641,0.9788,26894,2978,662,22,123242,3501
15,0.994,0.994,0.9846,26894,2978,662,47,123242,3501
16,0.9909,0.991,0.9802,26894,2978,662,29,123242,3501
17,0.997,0.997,0.9882,26894,2978,662,50,123242,3501
18,0.994,0.9939,0.9879,26894,2978,662,50,123242,3501
19,0.9955,0.9955,0.9866,26894,2978,662,47,123242,3501
20,0.9924,0.9925,0.9896,26894,2978,662,50,123242,3501
21,0.9909,0.9909,0.9859,26894,2978,662,49,123242,3501
22,0.9879,0.9879,0.9903,26894,2978,662,50,123242,3501
23,0.9683,0.9675,0.9879,26894,2978,662,50,123242,3501
24,0.9668,0.9657,0.9872,26894,2978,662,49,123242,3501
25,0.9864,0.9865,0.9879,26894,2978,662,50,123242,3501
26,0.997,0.997,0.9872,26894,2978,662,50,123242,3501
27,0.9879,0.9879,0.9869,26894,2978,662,50,123242,3501
28,0.9804,0.98,0.9869,26894,2978,662,50,123242,3501
29,0.861,0.8419,0.9862,26894,2978,662,45,123242,3501
30,0.9909,0.9909,0.9862,26894,2978,662,42,123242,3501
31,1.0,1.0,0.9862,26894,2978,662,50,123242,3501
32,0.997,0.997,0.9876,26894,2978,662,49,123242,3501
33,0.9849,0.9848,0.9862,26894,2978,662,50,123242,3501
34,0.9879,0.9879,0.9886,26894,2978,662,50,123242,3501
35,0.9894,0.9893,0.9862,26894,2978,662,50,123242,3501
36,0.9758,0.9754,0.9872,26894,2978,662,46,123242,3501
37,0.994,0.994,0.9869,26894,2978,662,50,123242,3501
38,0.9909,0.9909,0.9896,26894,2978,662,50,123242,3501
41,0.9955,0.9955,0.9889,26894,2978,662,50,123242,3501
42,0.997,0.997,0.9866,26878,2976,680,50,123242,3501
43,0.9924,0.9924,0.9872,26878,2976,680,44,123242,3501
44,0.9955,0.9954,0.9913,26878,2976,680,50,123242,3501
45,0.932,0.9353,0.9872,26878,2976,680,43,123242,3501
46,0.994,0.9939,0.9869,26878,2976,680,43,123242,3501
47,1.0,1.0,0.9862,26878,2976,680,50,123242,3501
48,1.0,1.0,0.9903,26878,2976,680,50,123242,3501
49,0.9804,0.9803,0.9731,26878,2976,680,21,123242,3501
50,0.9577,0.9568,0.9694,26878,2976,680,17,123242,3501
54,0.9758,0.9755,0.9866,26878,2976,680,47,123242,3501
