held_out,test_acc,test_f1,val_acc,n_train,n_val,n_test,n_features
01,0.9199,0.9163,0.9456,26894,2978,662,455
02,0.5676,0.2462,0.9476,26878,2976,680,455
03,0.9544,0.953,0.9479,26878,2976,680,455
04,0.9662,0.967,0.9419,26878,2976,680,455
05,0.7662,0.6948,0.9503,26878,2976,680,455
06,0.9458,0.9478,0.9443,26892,2978,664,455
08,0.9563,0.9549,0.9476,26892,2978,664,455
09,0.991,0.9909,0.9486,26892,2978,664,455
10,0.6084,0.3627,0.953,26892,2978,664,455
11,0.9337,0.9297,0.9439,26892,2978,664,455
14,0.7644,0.6953,0.9516,26894,2978,662,455
15,0.9335,0.9377,0.9426,26894,2978,662,455
16,0.9834,0.9835,0.9466,26894,2978,662,455
17,0.9547,0.9556,0.954,26894,2978,662,455
18,0.9396,0.9367,0.9516,26894,2978,662,455
19,0.9819,0.9818,0.9486,26894,2978,662,455
20,0.9758,0.976,0.9486,26894,2978,662,455
21,0.9728,0.9723,0.9523,26894,2978,662,455
22,0.784,0.8049,0.9493,26894,2978,662,455
23,0.9426,0.9397,0.949,26894,2978,662,455
24,0.9486,0.9469,0.9496,26894,2978,662,455
25,0.8822,0.8687,0.9503,26894,2978,662,455
26,0.9637,0.9632,0.9409,26894,2978,662,455
27,0.9562,0.957,0.9439,26894,2978,662,455
28,0.9456,0.9436,0.9466,26894,2978,662,455
29,0.8097,0.7797,0.9506,26894,2978,662,455
30,0.9456,0.9461,0.951,26894,2978,662,455
31,0.6208,0.3923,0.9426,26894,2978,662,455
32,0.9698,0.9701,0.9459,26894,2978,662,455
33,0.9698,0.9693,0.9406,26894,2978,662,455
34,0.9637,0.964,0.949,26894,2978,662,455
35,0.8172,0.813,0.952,26894,2978,662,455
36,0.8595,0.8383,0.9473,26894,2978,662,455
37,0.9366,0.9327,0.948,26894,2978,662,455
38,0.6918,0.5546,0.9476,26894,2978,662,455
41,0.9698,0.9707,0.9557,26894,2978,662,455
42,0.9924,0.9924,0.95,26894,2978,662,455
43,0.6934,0.598,0.953,26894,2978,662,455
44,0.929,0.9246,0.948,26894,2978,662,455
45,0.7387,0.7587,0.9577,26894,2978,662,455
46,0.9849,0.9847,0.9486,26894,2978,662,455
47,0.9834,0.9836,0.951,26894,2978,662,455
48,0.994,0.994,0.9459,26894,2978,662,455
49,0.9924,0.9925,0.9493,26894,2978,662,455
50,0.935,0.931,0.9456,26894,2978,662,455
54,0.8218,0.793,0.9516,26894,2978,662,455
