subject,cv_eegnet,cv_eegnet_std,cv_eegnet_f1,fold_1,fold_2,fold_3,fold_4,fold_5
01,0.9577,0.0078,0.9577,0.9549,0.9699,0.947,0.9545,0.9621
02,0.9647,0.0194,0.9647,0.9779,0.9706,0.9779,0.9706,0.9265
03,0.9779,0.0066,0.9779,0.9853,0.9706,0.9853,0.9779,0.9706
04,0.9971,0.0036,0.9971,1.0,0.9926,1.0,1.0,0.9926
05,0.9926,0.0066,0.9926,0.9853,0.9926,1.0,0.9853,1.0
06,0.988,0.006,0.988,0.9774,0.985,0.9925,0.9925,0.9924
08,0.9849,0.0068,0.9849,0.9774,0.985,0.9925,0.9925,0.9773
09,0.9925,0.0067,0.9925,1.0,0.9925,0.985,0.985,1.0
10,0.8434,0.0325,0.843,0.797,0.8195,0.8797,0.8421,0.8788
11,0.9879,0.0037,0.9879,0.985,0.985,0.9925,0.9925,0.9848
14,0.9653,0.0113,0.9652,0.9549,0.9699,0.9621,0.9848,0.9545
15,0.9939,0.0074,0.9939,1.0,1.0,0.9848,1.0,0.9848
16,0.9924,0.0068,0.9924,0.985,1.0,0.9924,1.0,0.9848
17,0.9985,0.003,0.9985,1.0,1.0,1.0,1.0,0.9924
18,0.9834,0.0057,0.9834,0.985,0.9925,0.9773,0.9773,0.9848
19,0.9985,0.003,0.9985,1.0,1.0,1.0,1.0,0.9924
20,0.9909,0.003,0.9909,0.9925,0.985,0.9924,0.9924,0.9924
21,0.9924,0.0068,0.9924,0.985,1.0,0.9924,0.9848,1.0
22,0.9895,0.0077,0.9894,0.985,0.9774,1.0,0.9924,0.9924
23,0.9668,0.014,0.9668,0.9699,0.9549,0.9924,0.9621,0.9545
24,0.9698,0.0198,0.9697,0.985,0.9774,0.9394,0.9924,0.9545
25,0.9879,0.0102,0.9879,0.985,0.9699,1.0,0.9924,0.9924
26,0.9985,0.003,0.9985,1.0,1.0,1.0,0.9924,1.0
27,0.9864,0.0088,0.9864,0.985,0.9774,0.9773,1.0,0.9924
28,0.9879,0.0139,0.9879,1.0,0.9624,1.0,0.9924,0.9848
29,0.8958,0.0129,0.8956,0.9023,0.8797,0.8939,0.9167,0.8864
30,0.9924,0.0096,0.9924,1.0,1.0,1.0,0.9848,0.9773
31,0.9909,0.0088,0.9909,1.0,0.985,0.9773,1.0,0.9924
32,0.9864,0.0088,0.9864,0.985,0.9925,0.9697,0.9924,0.9924
33,0.9895,0.0102,0.9894,0.9925,0.9699,0.9924,1.0,0.9924
34,0.9879,0.006,0.9879,0.9925,0.9774,0.9924,0.9924,0.9848
35,0.9864,0.0057,0.9864,0.985,0.9925,0.9848,0.9924,0.9773
36,0.9864,0.0057,0.9864,0.985,0.9925,0.9924,0.9848,0.9773
37,0.9879,0.0091,0.9879,0.9774,1.0,0.9773,0.9924,0.9924
38,0.9894,0.0102,0.9894,1.0,0.9774,0.9773,1.0,0.9924
41,0.9925,0.0082,0.9925,1.0,0.9774,0.9924,1.0,0.9924
42,0.9955,0.0037,0.9955,0.9925,0.9925,0.9924,1.0,1.0
43,0.9879,0.006,0.9879,0.985,0.985,1.0,0.9848,0.9848
44,0.994,0.0057,0.994,0.9925,1.0,0.9924,1.0,0.9848
45,0.9728,0.0103,0.9728,0.9774,0.9699,0.9848,0.9773,0.9545
46,0.9955,0.0037,0.9955,1.0,1.0,0.9924,0.9924,0.9924
47,0.997,0.0037,0.997,1.0,0.9925,1.0,1.0,0.9924
48,0.9955,0.006,0.9955,0.985,1.0,0.9924,1.0,1.0
49,0.997,0.0037,0.997,0.9925,1.0,1.0,1.0,0.9924
50,0.9909,0.0088,0.9909,1.0,0.9925,0.9773,0.9848,1.0
54,0.9955,0.0037,0.9955,0.9925,0.9925,1.0,1.0,0.9924
