subject,cv_lda,cv_lda_std,cv_svm,cv_svm_std,cv_rf,cv_rf_std
01,0.713,0.0347,0.932,0.0118,0.932,0.0185
02,0.7985,0.0365,0.9574,0.0135,0.9529,0.0178
03,0.9,0.0178,0.9809,0.0128,0.9956,0.0036
04,0.8456,0.0397,0.9868,0.0055,0.9868,0.0055
05,0.8618,0.0256,0.9868,0.0029,0.9971,0.0036
06,0.8689,0.0474,0.9805,0.0188,0.9864,0.012
08,0.8479,0.0625,0.9805,0.0216,0.997,0.0037
09,0.9082,0.0173,0.991,0.0088,0.9925,0.0067
10,0.6023,0.03,0.8193,0.0155,0.8148,0.0381
11,0.8433,0.0426,0.9639,0.0186,0.9684,0.0186
14,0.7733,0.0236,0.9698,0.0125,0.9773,0.0048
15,0.9531,0.0131,0.9894,0.009,0.997,0.006
16,0.9048,0.0149,0.9819,0.0103,0.9834,0.0074
17,0.9517,0.021,0.9955,0.006,0.9985,0.003
18,0.9124,0.0138,0.9864,0.0088,0.9864,0.0074
19,0.9275,0.0281,0.9698,0.0127,0.9909,0.0057
20,0.8474,0.024,0.9819,0.0077,0.9773,0.0048
21,0.9335,0.0074,0.9728,0.0228,0.997,0.0037
22,0.864,0.0459,0.9623,0.0164,0.9698,0.0106
23,0.8505,0.0209,0.9653,0.0102,0.9668,0.0037
24,0.7901,0.0313,0.9607,0.0147,0.9562,0.0237
25,0.7826,0.0336,0.9562,0.0129,0.9592,0.0076
26,0.8277,0.0268,0.9758,0.0089,0.9819,0.0113
27,0.8641,0.0379,0.9728,0.02,0.9759,0.021
28,0.8111,0.0406,0.9683,0.0129,0.9622,0.0196
29,0.7115,0.0203,0.9063,0.0227,0.8852,0.0239
30,0.8428,0.0255,0.9697,0.0284,0.9758,0.0176
31,0.9108,0.0293,0.991,0.011,0.997,0.0037
32,0.8625,0.0417,0.9758,0.0057,0.9864,0.0088
33,0.8565,0.0181,0.9819,0.0147,0.9804,0.0216
34,0.8444,0.0346,0.9849,0.0096,0.9879,0.0077
35,0.8958,0.0283,0.9728,0.0155,0.9879,0.006
36,0.8051,0.0237,0.9562,0.0175,0.9516,0.0157
37,0.8867,0.0238,0.9789,0.0057,0.9819,0.0102
38,0.9215,0.0384,0.9879,0.0077,0.9849,0.0127
41,0.9395,0.0263,0.9909,0.0074,0.997,0.0037
42,0.8942,0.0408,0.9834,0.012,0.9864,0.0088
43,0.8746,0.0193,0.9773,0.0048,0.9834,0.012
44,0.8475,0.049,0.9834,0.0121,0.9849,0.0159
45,0.7719,0.0204,0.9486,0.0181,0.9456,0.0102
46,0.9199,0.0299,0.9864,0.0111,0.9924,0.0083
47,0.9168,0.0288,0.9864,0.0056,0.9955,0.0037
48,0.9093,0.0098,0.991,0.0088,0.9909,0.0088
49,0.9411,0.013,0.994,0.0088,0.9955,0.006
50,0.8519,0.0322,0.9743,0.0076,0.9803,0.0141
54,0.8655,0.0191,0.9773,0.0083,0.9653,0.0113
