subject,acc_mean,acc_std,f1_mean,fold_1,fold_2,fold_3,fold_4,fold_5
01,0.9502,0.0217,0.9501,0.9398,0.9474,0.9924,0.9394,0.9318
02,0.9676,0.011,0.9676,0.9706,0.9779,0.9779,0.9485,0.9632
03,0.9838,0.0029,0.9838,0.9853,0.9853,0.9779,0.9853,0.9853
04,0.9985,0.0029,0.9985,1.0,1.0,1.0,1.0,0.9926
05,0.9868,0.0108,0.9868,0.9706,0.9779,0.9926,0.9926,1.0
06,0.9925,0.0048,0.9925,0.9925,0.9925,0.985,0.9925,1.0
08,0.994,0.0074,0.994,0.985,0.985,1.0,1.0,1.0
09,0.9924,0.0096,0.9924,1.0,1.0,1.0,0.985,0.9773
10,0.8088,0.0277,0.8082,0.8045,0.7594,0.8271,0.812,0.8409
11,0.9789,0.012,0.9789,0.9925,0.9699,0.9624,0.9774,0.9924
14,0.9804,0.0102,0.9804,0.9624,0.985,0.9924,0.9848,0.9773
15,0.997,0.0037,0.997,0.9925,1.0,1.0,1.0,0.9924
16,0.9894,0.0037,0.9894,0.985,0.9925,0.9924,0.9848,0.9924
17,0.994,0.0057,0.994,0.9925,0.9925,1.0,1.0,0.9848
18,0.994,0.0057,0.994,1.0,0.9925,0.9924,1.0,0.9848
19,0.9955,0.0037,0.9955,1.0,0.9925,1.0,0.9924,0.9924
20,0.9924,0.0048,0.9924,0.9925,0.9925,1.0,0.9848,0.9924
21,0.9924,0.0083,0.9924,0.9925,1.0,0.9773,0.9924,1.0
22,0.991,0.0088,0.991,0.985,0.9774,1.0,0.9924,1.0
23,0.9713,0.0087,0.9713,0.9774,0.9549,0.9773,0.9773,0.9697
24,0.9743,0.0061,0.9743,0.985,0.9699,0.9697,0.9773,0.9697
25,0.9758,0.0101,0.9758,0.9774,0.9774,0.9924,0.9697,0.9621
26,0.9955,0.0091,0.9955,1.0,1.0,1.0,0.9773,1.0
27,0.9924,0.0068,0.9924,1.0,0.985,0.9924,0.9848,1.0
28,0.9773,0.0127,0.9773,0.9774,0.9774,0.9545,0.9924,0.9848
29,0.8807,0.0337,0.8806,0.8872,0.8797,0.8258,0.8788,0.9318
30,0.994,0.0057,0.994,0.9925,0.9925,1.0,1.0,0.9848
31,0.9879,0.0061,0.9879,0.985,0.9925,0.9773,0.9924,0.9924
32,0.9894,0.0113,0.9894,1.0,0.985,1.0,0.9697,0.9924
33,0.9864,0.0111,0.9864,0.9774,0.9925,0.9924,0.9697,1.0
34,0.9955,0.0061,0.9955,1.0,0.9925,1.0,1.0,0.9848
35,0.9864,0.0101,0.9864,0.985,0.9925,0.9697,0.9848,1.0
36,0.9849,0.0095,0.9849,0.9925,0.9699,0.9924,0.9773,0.9924
37,0.9864,0.01,0.9864,0.9699,0.985,0.9924,0.9848,1.0
38,0.9955,0.0037,0.9955,0.9925,0.9925,1.0,0.9924,1.0
41,0.9955,0.006,0.9955,1.0,0.985,0.9924,1.0,1.0
42,0.9925,0.0082,0.9925,0.9925,0.9774,0.9924,1.0,1.0
43,0.9924,0.0068,0.9924,0.985,1.0,0.9924,1.0,0.9848
44,0.9849,0.0127,0.9849,1.0,0.9925,0.9697,0.9924,0.9697
45,0.9774,0.0083,0.9774,0.9699,0.9774,0.9773,0.9924,0.9697
46,0.9955,0.0037,0.9955,0.9925,0.9925,0.9924,1.0,1.0
47,0.9985,0.003,0.9985,1.0,0.9925,1.0,1.0,1.0
48,0.994,0.003,0.994,0.9925,0.9925,0.9924,0.9924,1.0
49,0.9985,0.003,0.9985,1.0,1.0,1.0,1.0,0.9924
50,0.994,0.0057,0.9939,1.0,0.9925,0.9924,0.9848,1.0
54,0.9894,0.006,0.9894,0.9925,0.9774,0.9924,0.9924,0.9924
